Vmware1!,devuser1@pacific.local,devuser1,devgroup
Vmware1!,devuser2@pacific.local,devuser2,devgroup
Vmware1!,devuser3@pacific.local,devuser3,devgroup
Vmware1!,devuser4@pacific.local,devuser4,devgroup
Vmware1!,devuser5@pacific.local,devuser5,devgroup
Vmware1!,opsuser1@pacific.local,opsuser1,opsgroup
Vmware1!,opsuser2@pacific.local,opsuser2,opsgroup
Vmware1!,opsuser3@pacific.local,opsuser3,opsgroup
Vmware1!,opsuser4@pacific.local,opsuser4,opsgroup
Vmware1!,opsuser5@pacific.local,opsuser5,opsgroup
